                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.55543,                  3.027,                 1.1184,                0.67459,                0.70134,                0.73766,                0.67937,                0.37228,                 1.1661,                 1.0045,              0.0033327,              0.0033327,              0.0033327
                      2,                0.55207,                  1.758,                  1.078,                0.83535,                0.82629,                 0.8932,                0.83551,                0.35203,                0.74759,                0.99558,               0.006534,               0.006534,               0.006534
                      3,                0.59312,                  1.438,                 1.0908,                0.85284,                0.84984,                 0.9062,                0.84194,                0.36783,                0.64925,                  0.999,              0.0096034,              0.0096034,              0.0096034
