                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                0.35252,                0.36946,                0.97414,                0.97311,                0.95023,                0.98235,                0.96211,                0.21227,                0.21688,                0.88049,               0.002872,               0.002872,               0.002872
                     38,                0.35339,                0.37161,                0.97317,                0.97358,                0.95047,                0.98245,                0.96233,                0.21162,                0.21588,                0.88019,               0.002674,               0.002674,               0.002674
                     39,                0.35005,                0.36456,                0.97375,                0.97421,                0.95021,                 0.9825,                0.96258,                 0.2109,                0.21517,                 0.8796,               0.002476,               0.002476,               0.002476
                     40,                0.34499,                0.35442,                0.97082,                0.97498,                0.94988,                0.98252,                0.96273,                0.21026,                0.21465,                0.87928,               0.002278,               0.002278,               0.002278
                     41,                0.18633,                0.21436,                0.87005,                0.97641,                0.94827,                0.98258,                0.96288,                0.20889,                0.21352,                0.87848,                0.00208,                0.00208,                0.00208
                     42,                0.17741,                0.19949,                0.86469,                0.97598,                0.94933,                0.98274,                0.96351,                0.20722,                0.21221,                0.87737,               0.001882,               0.001882,               0.001882
                     43,                0.17129,                  0.192,                0.85951,                0.97653,                 0.9498,                0.98281,                0.96389,                0.20577,                0.21108,                0.87625,               0.001684,               0.001684,               0.001684
                     44,                0.16849,                0.18376,                0.86006,                0.97257,                0.95081,                0.97983,                0.96108,                0.20424,                0.21195,                0.87518,               0.001486,               0.001486,               0.001486
                     45,                0.16368,                0.17712,                0.85571,                0.97587,                0.95127,                0.98295,                0.96454,                    nan,                    nan,                    nan,               0.001288,               0.001288,               0.001288
                     46,                0.15905,                0.17053,                0.85398,                0.97679,                0.95113,                0.98301,                0.96479,                0.20152,                0.20593,                0.87322,                0.00109,                0.00109,                0.00109
                     47,                0.15471,                0.16248,                0.85067,                0.97683,                0.95149,                0.98299,                0.96516,                0.20007,                0.20426,                0.87216,               0.000892,               0.000892,               0.000892
                     48,                0.15078,                0.15754,                0.84634,                0.97767,                0.95113,                0.98315,                0.96561,                0.19884,                0.20258,                 0.8713,               0.000694,               0.000694,               0.000694
                     49,                0.14728,                0.15135,                0.84565,                0.97113,                0.95133,                 0.9759,                0.95812,                 0.1985,                0.22474,                0.87027,               0.000496,               0.000496,               0.000496
                     50,                0.14301,                0.14423,                 0.8437,                0.97804,                0.95146,                0.98324,                0.96609,                0.19725,                0.20053,                0.86949,               0.000298,               0.000298,               0.000298
