                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.37546,                  4.019,                 1.0292,                 0.4886,                0.53328,                0.51777,                0.48458,                0.32637,                   1.75,                0.96059,             5.1986e-05,             5.1986e-05,             5.1986e-05
                      2,                0.29347,                 2.0934,                0.94617,                0.76959,                0.71248,                0.78802,                0.74926,                0.29627,                 1.1099,                0.92574,             9.3691e-05,             9.3691e-05,             9.3691e-05
                      3,                0.26948,                 1.3018,                0.92419,                0.84654,                0.80423,                0.88625,                 0.8478,                0.27506,                0.78336,                0.91401,              0.0001251,              0.0001251,              0.0001251
                      4,                0.25085,                0.94494,                0.90679,                0.89037,                0.86609,                0.92735,                 0.8898,                0.26339,                0.60611,                0.90292,             0.00010967,             0.00010967,             0.00010967
                      5,                0.23517,                0.72985,                0.89739,                0.90071,                0.88425,                0.92847,                0.89401,                0.25153,                 0.6482,                0.89372,             9.4224e-05,             9.4224e-05,             9.4224e-05
                      6,                0.22213,                0.60445,                0.88999,                0.92127,                0.89712,                0.95312,                0.92135,                0.24045,                0.45332,                0.88634,              7.878e-05,              7.878e-05,              7.878e-05
                      7,                0.21123,                0.51932,                0.88293,                 0.9117,                 0.9064,                0.93587,                0.90622,                0.22723,                    inf,                0.87685,             6.3336e-05,             6.3336e-05,             6.3336e-05
                      8,                0.20287,                0.45907,                0.87658,                0.93383,                0.91651,                0.96144,                0.93276,                    nan,                    nan,                    nan,             4.7892e-05,             4.7892e-05,             4.7892e-05
                      9,                0.19327,                 0.4069,                0.87007,                0.93576,                0.92462,                0.96215,                0.93388,                    nan,                    nan,                    nan,             3.2448e-05,             3.2448e-05,             3.2448e-05
                     10,                0.18655,                0.37252,                0.86923,                0.92895,                0.92952,                0.95624,                0.92853,                0.21374,                0.36954,                0.86777,             1.7004e-05,             1.7004e-05,             1.7004e-05
