                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9767,                  0.897,                0.98183,                 2.8974,               0.003333,               0.003333,               0.003333
                      2,                0.55698,                0.95375,                 0.9955,                 2.7967,              0.0065344,              0.0065344,              0.0065344
                      3,                0.39066,                0.96042,                0.99842,                 2.7842,              0.0096037,              0.0096037,              0.0096037
                      4,                0.34636,                0.97183,                0.99808,                 2.7706,               0.009406,               0.009406,               0.009406
                      5,                0.28083,                   0.98,                0.99925,                 2.7609,               0.009208,               0.009208,               0.009208
                      6,                0.23563,                0.98458,                0.99967,                 2.7537,                0.00901,                0.00901,                0.00901
                      7,                 0.2042,                0.98267,                0.99958,                  2.754,               0.008812,               0.008812,               0.008812
                      8,                 0.1852,                0.98575,                0.99992,                 2.7501,               0.008614,               0.008614,               0.008614
                      9,                0.16868,                 0.9885,                0.99975,                 2.7462,               0.008416,               0.008416,               0.008416
                     10,                0.16524,                0.98958,                0.99992,                 2.7451,               0.008218,               0.008218,               0.008218
                     11,                0.15031,                0.99025,                0.99975,                 2.7439,                0.00802,                0.00802,                0.00802
                     12,                 0.1404,                0.99042,                      1,                 2.7431,               0.007822,               0.007822,               0.007822
                     13,                0.13253,                0.99067,                0.99992,                 2.7424,               0.007624,               0.007624,               0.007624
                     14,                0.12373,                0.99058,                0.99992,                 2.7426,               0.007426,               0.007426,               0.007426
                     15,                0.11516,                0.99042,                0.99992,                 2.7424,               0.007228,               0.007228,               0.007228
                     16,                0.11123,                0.98992,                0.99992,                 2.7426,                0.00703,                0.00703,                0.00703
                     17,                0.10096,                 0.9905,                0.99992,                 2.7422,               0.006832,               0.006832,               0.006832
                     18,                0.10335,                0.99067,                0.99992,                 2.7417,               0.006634,               0.006634,               0.006634
                     19,                0.09463,                0.99108,                0.99992,                 2.7414,               0.006436,               0.006436,               0.006436
                     20,                0.09335,                0.99142,                0.99992,                 2.7412,               0.006238,               0.006238,               0.006238
                     21,                0.08541,                0.99167,                0.99992,                 2.7408,                0.00604,                0.00604,                0.00604
                     22,                0.08194,                0.99225,                0.99992,                 2.7406,               0.005842,               0.005842,               0.005842
                     23,                0.08094,                0.99233,                0.99992,                 2.7403,               0.005644,               0.005644,               0.005644
                     24,                0.07214,                0.99233,                0.99992,                 2.7401,               0.005446,               0.005446,               0.005446
                     25,                0.06916,                0.99233,                0.99992,                   2.74,               0.005248,               0.005248,               0.005248
                     26,                0.06272,                0.99242,                0.99992,                 2.7398,                0.00505,                0.00505,                0.00505
                     27,                0.06132,                0.99225,                0.99992,                 2.7396,               0.004852,               0.004852,               0.004852
                     28,                0.06136,                0.99267,                0.99992,                 2.7393,               0.004654,               0.004654,               0.004654
                     29,                0.05482,                0.99308,                0.99992,                 2.7391,               0.004456,               0.004456,               0.004456
                     30,                 0.0533,                0.99342,                0.99992,                 2.7389,               0.004258,               0.004258,               0.004258
                     31,                0.04934,                0.99342,                0.99992,                 2.7388,                0.00406,                0.00406,                0.00406
                     32,                0.04717,                0.99383,                0.99992,                 2.7388,               0.003862,               0.003862,               0.003862
                     33,                0.04365,                0.99392,                0.99992,                 2.7386,               0.003664,               0.003664,               0.003664
                     34,                0.03813,                0.99367,                0.99992,                 2.7386,               0.003466,               0.003466,               0.003466
                     35,                0.03584,                0.99367,                0.99992,                 2.7385,               0.003268,               0.003268,               0.003268
                     36,                0.03755,                0.99367,                0.99992,                 2.7384,                0.00307,                0.00307,                0.00307
                     37,                0.03222,                0.99383,                0.99992,                 2.7383,               0.002872,               0.002872,               0.002872
                     38,                0.03096,                  0.994,                0.99992,                 2.7383,               0.002674,               0.002674,               0.002674
                     39,                0.02938,                  0.994,                0.99992,                 2.7382,               0.002476,               0.002476,               0.002476
                     40,                0.02674,                0.99408,                0.99992,                 2.7382,               0.002278,               0.002278,               0.002278
                     41,                0.02488,                0.99417,                0.99992,                 2.7382,                0.00208,                0.00208,                0.00208
                     42,                0.02333,                0.99425,                0.99992,                 2.7382,               0.001882,               0.001882,               0.001882
                     43,                0.02091,                0.99433,                      1,                 2.7381,               0.001684,               0.001684,               0.001684
                     44,                0.01754,                0.99458,                      1,                  2.738,               0.001486,               0.001486,               0.001486
                     45,                0.01896,                0.99442,                      1,                 2.7379,               0.001288,               0.001288,               0.001288
                     46,                0.01708,                 0.9945,                      1,                 2.7378,                0.00109,                0.00109,                0.00109
                     47,                0.01493,                0.99483,                      1,                 2.7378,               0.000892,               0.000892,               0.000892
                     48,                0.01371,                0.99492,                      1,                 2.7378,               0.000694,               0.000694,               0.000694
                     49,                0.01375,                0.99508,                      1,                 2.7377,               0.000496,               0.000496,               0.000496
                     50,                0.01384,                0.99508,                      1,                 2.7377,               0.000298,               0.000298,               0.000298
