                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.55632,                 3.0139,                 1.1191,                0.64022,                0.66662,                0.70912,                 0.6506,                0.37411,                 1.2433,                 1.0084,              0.0033327,              0.0033327,              0.0033327
                      2,                 0.5524,                 1.7656,                 1.0784,                 0.8229,                0.82273,                0.87723,                 0.8228,                0.34296,                0.75432,                0.97814,               0.006534,               0.006534,               0.006534
                      3,                0.59488,                 1.4462,                 1.0918,                 0.8409,                0.85652,                0.91023,                0.84938,                0.36371,                0.65779,                0.99596,              0.0096034,              0.0096034,              0.0096034
                      4,                0.58371,                 1.1767,                 1.0865,                0.89563,                0.89058,                0.94584,                0.89368,                0.32709,                0.50038,                0.96521,               0.009406,               0.009406,               0.009406
                      5,                 0.5352,                 0.9616,                 1.0641,                0.92743,                0.91069,                0.96107,                0.91424,                0.30747,                0.42357,                0.95245,               0.009208,               0.009208,               0.009208
                      6,                 0.5045,                0.83955,                 1.0469,                0.93934,                 0.9253,                 0.9663,                0.92587,                0.29201,                 0.3661,                0.94245,                0.00901,                0.00901,                0.00901
                      7,                0.48856,                0.77642,                 1.0404,                0.94848,                0.92482,                0.97059,                0.93249,                0.27888,                0.34156,                 0.9289,               0.008812,               0.008812,               0.008812
                      8,                0.47402,                0.71939,                 1.0323,                0.96262,                0.93546,                0.97541,                0.94175,                0.26303,                0.30169,                0.92063,               0.008614,               0.008614,               0.008614
                      9,                0.45913,                0.68199,                 1.0251,                0.95419,                0.94444,                0.97655,                0.94606,                0.25443,                0.29271,                0.91173,               0.008416,               0.008416,               0.008416
                     10,                0.45393,                0.64913,                 1.0239,                0.96994,                0.93393,                0.97766,                0.94744,                0.25074,                0.28049,                0.90942,               0.008218,               0.008218,               0.008218
                     11,                0.44829,                0.62657,                 1.0193,                0.96572,                0.94075,                0.97896,                0.95018,                0.24283,                0.27045,                0.90419,                0.00802,                0.00802,                0.00802
                     12,                0.44048,                0.60064,                 1.0158,                0.97181,                0.93974,                0.97933,                0.95166,                0.23806,                0.26073,                0.90092,               0.007822,               0.007822,               0.007822
                     13,                0.43333,                0.58056,                 1.0119,                0.97224,                0.94063,                0.97943,                  0.953,                 0.2337,                0.25281,                0.89693,               0.007624,               0.007624,               0.007624
                     14,                0.42768,                0.56897,                 1.0088,                0.97108,                0.94354,                0.98009,                0.95355,                 0.2326,                 0.2517,                0.89741,               0.007426,               0.007426,               0.007426
                     15,                0.42313,                0.55312,                  1.007,                0.97075,                0.94489,                0.98028,                0.95482,                  0.229,                 0.2468,                0.89454,               0.007228,               0.007228,               0.007228
                     16,                0.41825,                0.53703,                 1.0036,                0.97098,                0.94314,                 0.9777,                 0.9523,                0.22723,                0.24319,                 0.8937,                0.00703,                0.00703,                0.00703
                     17,                0.41321,                0.53085,                 1.0014,                 0.9722,                0.94622,                0.98063,                0.95553,                0.22526,                0.23674,                0.89173,               0.006832,               0.006832,               0.006832
                     18,                0.40977,                 0.5159,                 1.0007,                0.96895,                0.94954,                0.97946,                  0.955,                0.22355,                0.23554,                0.89062,               0.006634,               0.006634,               0.006634
                     19,                0.40633,                0.50404,                0.99848,                0.96074,                0.94653,                 0.9674,                0.94248,                0.22158,                 0.2544,                   0.89,               0.006436,               0.006436,               0.006436
                     20,                0.40437,                0.49713,                0.99819,                0.96646,                0.94789,                0.97397,                   0.95,                0.21971,                0.24445,                 0.8884,               0.006238,               0.006238,               0.006238
                     21,                 0.3998,                0.48541,                0.99523,                0.96763,                0.94712,                0.97414,                0.95029,                0.21916,                0.23837,                0.88823,                0.00604,                0.00604,                0.00604
                     22,                0.39665,                0.48253,                0.99413,                0.97338,                0.94773,                0.98091,                0.95742,                0.21818,                0.22862,                0.88771,               0.005842,               0.005842,               0.005842
                     23,                0.39277,                 0.4722,                 0.9922,                0.96908,                0.94809,                0.97531,                0.95179,                 0.2166,                0.23433,                0.88595,               0.005644,               0.005644,               0.005644
                     24,                0.39068,                0.46405,                0.99165,                 0.9728,                0.94947,                0.98034,                0.95728,                0.21597,                0.22638,                0.88535,               0.005446,               0.005446,               0.005446
                     25,                0.38805,                 0.4583,                0.99014,                0.97374,                0.95042,                0.98181,                0.95916,                0.21532,                0.22442,                0.88473,               0.005248,               0.005248,               0.005248
                     26,                0.38494,                0.44304,                0.98824,                0.97304,                0.94903,                0.97967,                 0.9572,                 0.2146,                0.22509,                0.88428,                0.00505,                0.00505,                0.00505
                     27,                0.38601,                0.44325,                0.98999,                0.97085,                0.94892,                0.97701,                0.95437,                0.21399,                0.22779,                0.88413,               0.004852,               0.004852,               0.004852
                     28,                0.37786,                0.43274,                0.98623,                0.97609,                0.94872,                0.98167,                0.95995,                0.21309,                0.22283,                0.88345,               0.004654,               0.004654,               0.004654
                     29,                 0.3766,                0.42544,                0.98554,                0.96837,                0.94776,                0.97218,                   0.95,                0.21262,                0.23105,                0.88335,               0.004456,               0.004456,               0.004456
                     30,                0.37488,                0.41804,                0.98593,                  0.977,                0.94808,                0.98187,                0.96028,                0.21184,                  0.221,                0.88288,               0.004258,               0.004258,               0.004258
                     31,                0.37075,                0.41183,                0.98219,                0.97379,                0.94724,                0.97771,                0.95586,                0.21152,                0.22335,                0.88275,                0.00406,                0.00406,                0.00406
                     32,                0.36912,                0.40713,                0.98224,                0.97706,                0.94748,                0.98136,                0.96009,                0.21076,                0.21994,                0.88216,               0.003862,               0.003862,               0.003862
                     33,                0.36604,                    0.4,                 0.9789,                0.97464,                0.95056,                0.98148,                0.96041,                0.21082,                0.21852,                0.88126,               0.003664,               0.003664,               0.003664
                     34,                0.36121,                0.39326,                0.97778,                0.97438,                0.95002,                0.98058,                0.95956,                0.21041,                0.21815,                0.88089,               0.003466,               0.003466,               0.003466
                     35,                0.36125,                0.38976,                0.97785,                0.97467,                0.94999,                0.98041,                0.95932,                0.20998,                0.21731,                 0.8807,               0.003268,               0.003268,               0.003268
                     36,                 0.3573,                0.38337,                0.97512,                0.97496,                0.94952,                0.98083,                0.96012,                0.20954,                0.21644,                0.88044,                0.00307,                0.00307,                0.00307
                     37,                0.35312,                0.37326,                0.97446,                0.97611,                0.95049,                0.98218,                 0.9617,                    nan,                    nan,                    nan,               0.002872,               0.002872,               0.002872
                     38,                0.35236,                0.36779,                 0.9729,                0.97674,                0.94994,                0.98217,                 0.9617,                0.20856,                0.21428,                0.87951,               0.002674,               0.002674,               0.002674
                     39,                0.35101,                0.36511,                0.97424,                0.96943,                 0.9503,                0.97422,                0.95342,                    nan,                    nan,                    nan,               0.002476,               0.002476,               0.002476
                     40,                0.34493,                0.35606,                0.97127,                0.97407,                0.95061,                0.98022,                0.95964,                0.20795,                0.21337,                0.87882,               0.002278,               0.002278,               0.002278
                     41,                 0.1834,                0.20881,                0.86843,                0.97632,                0.95109,                0.98229,                 0.9622,                 0.2067,                0.21087,                0.87809,                0.00208,                0.00208,                0.00208
                     42,                0.17649,                0.19915,                0.86365,                0.97736,                0.95034,                0.98228,                0.96241,                0.20561,                0.21001,                0.87749,               0.001882,               0.001882,               0.001882
                     43,                0.17242,                 0.1929,                0.86046,                 0.9781,                0.94972,                0.98237,                0.96297,                0.20446,                 0.2088,                0.87667,               0.001684,               0.001684,               0.001684
                     44,                0.16794,                0.18192,                0.85908,                0.97539,                0.95273,                0.98228,                0.96311,                0.20315,                0.20798,                0.87583,               0.001486,               0.001486,               0.001486
                     45,                0.16253,                0.17445,                0.85521,                0.97681,                0.95179,                0.98266,                0.96391,                0.20167,                0.20635,                0.87488,               0.001288,               0.001288,               0.001288
                     46,                0.15921,                0.16775,                0.85376,                 0.9752,                0.95334,                 0.9827,                0.96405,                 0.2005,                 0.2051,                0.87415,                0.00109,                0.00109,                0.00109
                     47,                0.15525,                0.16114,                0.85165,                0.97613,                0.95237,                0.98272,                 0.9641,                0.19932,                0.20413,                0.87337,               0.000892,               0.000892,               0.000892
                     48,                 0.1502,                 0.1551,                0.84614,                0.97552,                 0.9536,                0.98286,                0.96453,                0.19804,                0.20249,                0.87252,               0.000694,               0.000694,               0.000694
                     49,                0.14748,                0.14992,                0.84577,                 0.9752,                0.95412,                0.98291,                0.96498,                0.19693,                0.20133,                0.87176,               0.000496,               0.000496,               0.000496
                     50,                0.14356,                0.14524,                0.84419,                0.97301,                0.95662,                0.98298,                0.96523,                0.19577,                0.20024,                0.87097,               0.000298,               0.000298,               0.000298
