                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8183,                0.90708,                0.98542,                  2.895,              0.0033327,              0.0033327,              0.0033327
                      2,                0.42388,                0.95867,                0.99533,                 2.7954,               0.006534,               0.006534,               0.006534
                      3,                0.34627,                0.96208,                0.99733,                 2.7867,              0.0096034,              0.0096034,              0.0096034
                      4,                0.32925,                0.96625,                0.99842,                 2.7789,               0.009406,               0.009406,               0.009406
                      5,                    nan,                  0.025,                  0.125,                    nan,               0.009208,               0.009208,               0.009208
                      6,                0.21436,                  0.025,                  0.125,                    nan,                0.00901,                0.00901,                0.00901
                      7,                0.18336,                  0.025,                  0.125,                    nan,               0.008812,               0.008812,               0.008812
                      8,                0.16046,                  0.025,                  0.125,                    nan,               0.008614,               0.008614,               0.008614
                      9,                0.14724,                  0.025,                  0.125,                    nan,               0.008416,               0.008416,               0.008416
                     10,                0.12899,                  0.025,                  0.125,                    nan,               0.008218,               0.008218,               0.008218
                     11,                0.12228,                  0.025,                  0.125,                    nan,                0.00802,                0.00802,                0.00802
                     12,                0.10966,                  0.025,                  0.125,                    nan,               0.007822,               0.007822,               0.007822
                     13,                0.10143,                  0.025,                  0.125,                    nan,               0.007624,               0.007624,               0.007624
                     14,                0.09097,                  0.025,                  0.125,                    nan,               0.007426,               0.007426,               0.007426
                     15,                0.09216,                  0.025,                  0.125,                    nan,               0.007228,               0.007228,               0.007228
                     16,                0.08115,                  0.025,                  0.125,                    nan,                0.00703,                0.00703,                0.00703
                     17,                0.08451,                  0.025,                  0.125,                    nan,               0.006832,               0.006832,               0.006832
                     18,                0.08115,                  0.025,                  0.125,                    nan,               0.006634,               0.006634,               0.006634
                     19,                 0.0728,                  0.025,                  0.125,                    nan,               0.006436,               0.006436,               0.006436
                     20,                0.06421,                  0.025,                  0.125,                    nan,               0.006238,               0.006238,               0.006238
                     21,                0.06737,                  0.025,                  0.125,                    nan,                0.00604,                0.00604,                0.00604
                     22,                 0.0643,                  0.025,                  0.125,                    nan,               0.005842,               0.005842,               0.005842
                     23,                0.06083,                  0.025,                  0.125,                    nan,               0.005644,               0.005644,               0.005644
                     24,                0.05607,                  0.025,                  0.125,                    nan,               0.005446,               0.005446,               0.005446
                     25,                 0.0542,                  0.025,                  0.125,                    nan,               0.005248,               0.005248,               0.005248
                     26,                0.05493,                  0.025,                  0.125,                    nan,                0.00505,                0.00505,                0.00505
                     27,                0.04975,                  0.025,                  0.125,                    nan,               0.004852,               0.004852,               0.004852
                     28,                0.04929,                  0.025,                  0.125,                    nan,               0.004654,               0.004654,               0.004654
                     29,                0.04228,                  0.025,                  0.125,                    nan,               0.004456,               0.004456,               0.004456
                     30,                0.03943,                  0.025,                  0.125,                    nan,               0.004258,               0.004258,               0.004258
                     31,                0.03967,                  0.025,                  0.125,                    nan,                0.00406,                0.00406,                0.00406
                     32,                0.03786,                  0.025,                  0.125,                    nan,               0.003862,               0.003862,               0.003862
                     33,                0.03601,                  0.025,                  0.125,                    nan,               0.003664,               0.003664,               0.003664
                     34,                0.03196,                  0.025,                  0.125,                    nan,               0.003466,               0.003466,               0.003466
                     35,                0.03094,                  0.025,                  0.125,                    nan,               0.003268,               0.003268,               0.003268
                     36,                0.02542,                  0.025,                  0.125,                    nan,                0.00307,                0.00307,                0.00307
                     37,                0.02673,                  0.025,                  0.125,                    nan,               0.002872,               0.002872,               0.002872
                     38,                0.02441,                  0.025,                  0.125,                    nan,               0.002674,               0.002674,               0.002674
                     39,                0.02386,                  0.025,                  0.125,                    nan,               0.002476,               0.002476,               0.002476
                     40,                0.02075,                  0.025,                  0.125,                    nan,               0.002278,               0.002278,               0.002278
                     41,                0.01771,                  0.025,                  0.125,                    nan,                0.00208,                0.00208,                0.00208
                     42,                0.01849,                  0.025,                  0.125,                    nan,               0.001882,               0.001882,               0.001882
                     43,                 0.0179,                  0.025,                  0.125,                    nan,               0.001684,               0.001684,               0.001684
                     44,                 0.0143,                  0.025,                  0.125,                    nan,               0.001486,               0.001486,               0.001486
                     45,                0.01453,                  0.025,                  0.125,                    nan,               0.001288,               0.001288,               0.001288
                     46,                0.01525,                  0.025,                  0.125,                    nan,                0.00109,                0.00109,                0.00109
                     47,                0.01306,                  0.025,                  0.125,                    nan,               0.000892,               0.000892,               0.000892
                     48,                0.01259,                  0.025,                  0.125,                    nan,               0.000694,               0.000694,               0.000694
                     49,                0.01102,                  0.025,                  0.125,                    nan,               0.000496,               0.000496,               0.000496
                     50,                0.00972,                  0.025,                  0.125,                    nan,               0.000298,               0.000298,               0.000298
