data,time,predicted_class,confidence,scan_time
2024/08/09,15:51:14,Binunga,1.0,2.35
2024/08/09,15:53:46,Sintores,0.71,2.03
2024/08/09,15:54:04,Binunga,1.0,1.44
2024/08/09,15:54:04,Sintores,0.93,2.08
2024/08/09,15:56:09,Narra,1.0,9.48
2024/08/09,15:57:13,Native Talisay,0.99,48.59
2024/08/09,16:15:50,Balayong,1.0,2.25
2024/08/09,16:20:12,Lansones,1.0,1.61

