                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8186,                0.90933,                0.98692,                 2.8979,              0.0033327,              0.0033327,              0.0033327
                      2,                0.42212,                0.95608,                0.99625,                 2.7986,               0.006534,               0.006534,               0.006534
                      3,                0.34978,                0.96208,                 0.9975,                 2.7862,              0.0096034,              0.0096034,              0.0096034
                      4,                0.34107,                0.95833,                0.99617,                 2.8254,               0.009406,               0.009406,               0.009406
                      5,                0.26605,                0.97367,                 0.9985,                 2.7685,               0.009208,               0.009208,               0.009208
                      6,                0.22195,                0.97817,                  0.999,                 2.7748,                0.00901,                0.00901,                0.00901
                      7,                0.18038,                0.98175,                0.99983,                 2.7549,               0.008812,               0.008812,               0.008812
                      8,                0.15928,                0.98392,                0.99958,                 2.7523,               0.008614,               0.008614,               0.008614
                      9,                0.14446,                 0.9885,                      1,                 2.7468,               0.008416,               0.008416,               0.008416
                     10,                 0.1276,                0.99042,                0.99992,                 2.7443,               0.008218,               0.008218,               0.008218
                     11,                0.12323,                0.98983,                0.99983,                 2.7475,                0.00802,                0.00802,                0.00802
                     12,                0.10937,                0.99108,                      1,                 2.7435,               0.007822,               0.007822,               0.007822
                     13,                0.09981,                0.99058,                      1,                 2.7446,               0.007624,               0.007624,               0.007624
                     14,                0.09096,                0.99292,                      1,                  2.741,               0.007426,               0.007426,               0.007426
                     15,                0.08853,                0.99083,                      1,                 2.7457,               0.007228,               0.007228,               0.007228
                     16,                0.08757,                0.99325,                      1,                  2.741,                0.00703,                0.00703,                0.00703
                     17,                0.08439,                  0.994,                      1,                 2.7393,               0.006832,               0.006832,               0.006832
                     18,                0.07902,                0.99417,                      1,                  2.739,               0.006634,               0.006634,               0.006634
